participant,block,trial,trial_true,this_Shape,this_Location,image,intensity,response,RT
133,1,1,1,NA,NA,Null_6,1,0,0.8950297640112694
133,1,2,2,NA,NA,Null_6,1,1,0.6094516480225138
133,1,3,3,C,TR,C_TR_1,0.9772372209558107,0,0.5383613580197562
133,1,4,4,C,TR,C_TR_1,1.0,0,0.542198728013318
133,1,5,5,NA,NA,Null_8,1,1,0.5238245240179822
133,1,6,6,C,BL,C_BL_1,1,1,0.5723590280103963
133,1,7,7,C,TR,C_TR_1,1,1,0.617273304000264
133,1,8,8,C,TR,C_TR_1,0.9772372209558107,1,0.6168781119922642
133,1,9,9,C,BL,C_BL_1,0.9772372209558107,1,0.24024929199367762
133,1,10,10,C,BL,C_BL_1,0.9772372209558107,1,0.34191468500648625
133,2,11,11,BC,TL,BC_TL_1,1,1,0.45729000598657876
133,2,12,12,BC,BR,BC_BR_1,0.9772372209558107,1,0.43145962900598533
133,2,13,13,BC,BR,BC_BR_1,0.954992586021436,1,0.4162214440002572
133,2,14,14,BC,TL,BC_TL_1,0.9332543007969911,1,0.4316819929808844
133,2,15,15,BC,BR,BC_BR_1,0.9120108393559099,1,0.37532816801103763
133,2,16,16,BC,TL,BC_TL_1,0.8912509381337457,1,0.2578669109789189
133,2,17,17,BC,BR,BC_BR_1,0.8709635899560808,1,0.31238617599592544
133,2,18,18,BC,BR,BC_BR_1,0.8511380382023767,1,0.40052953897975385
133,2,19,19,BC,BR,BC_BR_1,0.8317637711026712,1,0.3774082899908535
133,2,20,20,NA,NA,Null_2,0.8128305161640994,0,0.4134205119917169
133,3,21,21,BC,BL,BC_BL_1,1,1,0.3270409010001458
133,3,22,22,BC,TR,BC_TR_1,0.9772372209558107,1,0.4994806450267788
133,3,23,23,BC,BL,BC_BL_1,0.954992586021436,1,0.3083534660108853
133,3,24,24,BC,TR,BC_TR_1,0.9332543007969911,1,0.6515598119876813
133,3,25,25,BC,BL,BC_BL_1,0.9120108393559099,1,0.42594684299547225
133,3,26,26,BC,TR,BC_TR_1,0.8912509381337457,1,0.3417963369865902
133,3,27,27,BC,TR,BC_TR_1,0.8709635899560808,1,0.33020745698013343
133,3,28,28,NA,NA,Null_4,0.8511380382023767,0,0.29258200200274587
133,3,29,29,BC,TR,BC_TR_1,0.8709635899560808,1,0.26340393599821255
133,3,30,30,BC,BL,BC_BL_1,0.8709635899560808,1,0.38669437399948947
133,4,31,31,C,BR,C_BR_1,1,1,0.4867973880027421
133,4,32,32,NA,NA,Null_7,0.9772372209558107,1,0.5309629399853293
133,4,33,33,C,TL,C_TL_1,0.954992586021436,0,0.4802740199957043
133,4,34,34,C,TL,C_TL_1,0.9772372209558107,1,0.5130511249881238
133,4,35,35,C,TL,C_TL_1,0.9772372209558107,0,0.49199249100638554
133,4,36,36,C,TL,C_TL_1,1.0,1,0.4785380230168812
133,4,37,37,NA,NA,Null_5,1.0,1,0.6917634380224627
133,4,38,38,C,BR,C_BR_1,1.0,1,0.5503510390117299
133,4,39,39,C,BR,C_BR_1,0.9772372209558107,1,0.48682515299879014
133,4,40,40,C,TL,C_TL_1,0.9772372209558107,0,0.8361654290056322
