participant,session,train_Shape,train_Locations,block,trial,this_Shape,this_Location,image,intensity,response,RT
141,1,C,TR_BL,1,1,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,1,2,NA,NA,Null_4,1,0,0.5
141,1,C,TR_BL,1,3,C,BL,C_BL_1,1,0,0.5
141,1,C,TR_BL,1,4,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,1,5,C,BL,C_BL_1,1,0,0.5
141,1,C,TR_BL,1,6,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,1,7,C,BL,C_BL_1,1,0,0.5
141,1,C,TR_BL,1,8,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,1,9,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,1,10,C,BL,C_BL_1,1,0,0.5
141,1,C,TR_BL,2,11,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,2,12,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,2,13,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,2,14,NA,NA,Null_1,1,0,0.5
141,1,C,TR_BL,2,15,NA,NA,Null_1,1,0,0.5
141,1,C,TR_BL,2,16,C,BL,C_BL_1,1,0,0.5
141,1,C,TR_BL,2,17,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,2,18,C,BL,C_BL_1,1,0,0.5
141,1,C,TR_BL,2,19,C,TR,C_TR_1,1,0,0.5
141,1,C,TR_BL,2,20,NA,NA,Null_1,1,0,0.5
141,1,C,TR_BL,3,21,C,TR,C_TR_1,1,1,0.4942718349993811
141,1,C,TR_BL,3,22,NA,NA,Null_1,0.7943282347242815,0,0.5
141,1,C,TR_BL,3,23,NA,NA,Null_1,1.0,0,0.4725867719971575
141,1,C,TR_BL,3,24,NA,NA,Null_4,1,0,0.5
141,1,C,TR_BL,3,25,C,TR,C_TR_1,1,1,0.4944102609952097
141,1,C,TR_BL,3,26,C,BL,C_BL_1,1,1,0.4153075770009309
141,1,C,TR_BL,3,27,C,BL,C_BL_1,1,1,0.4192160610036808
